id,discord_id,donation_policy,privacy_policy,mention_policy,friend_policy,trade_cooldown_policy,extra_data,coins
421,1300932341765640226,1,2,1,1,1,{},0
442,847978121504489472,1,2,1,1,1,{},0
465,1230630305585434668,1,2,1,1,1,{},0
422,1235703214062571551,1,2,1,1,1,{},0
443,1358235171303718912,1,2,1,1,1,{},0
444,793403290552631336,1,2,1,1,1,{},0
475,940991542653493349,1,2,1,1,1,"{""last_claim_date"": ""2026-01-14T05:09:15.126270""}",0
478,1277901689051152417,1,2,1,1,1,{},0
496,1332821046675640320,1,2,1,1,1,{},0
30,1037167681297719377,1,2,1,1,1,"{""last_claim_date"": ""2026-01-13T23:40:58.485908""}",0
470,1244411789802868746,1,2,1,1,1,{},0
445,1177987504046080010,1,2,1,1,1,{},0
433,1223692288019140658,1,2,1,1,1,{},0
423,1261011560399376414,1,2,1,1,1,"{""last_claim_date"": ""2026-01-08T12:16:23.244252""}",7800
434,1187312132505751619,1,2,1,1,1,{},0
425,1048861575307608134,1,2,1,1,1,{},0
452,1121475388330234039,1,2,1,1,1,{},0
424,1310959285857157195,1,2,1,1,1,"{""last_claim_date"": ""2026-01-08T12:20:59.318153""}",13400
426,1016379385592430652,1,2,1,1,1,{},0
435,1451683874550845491,1,2,1,1,1,{},0
436,1218547916562501814,1,2,1,1,1,{},0
446,1048213228028694588,1,2,1,1,1,{},0
427,1208421958388027422,1,2,1,1,1,{},0
428,1391915255482945589,1,2,1,1,1,{},0
429,1030265683499552799,1,2,1,1,1,{},0
487,1370361164478808166,1,2,1,1,1,"{""last_claim_date"": ""2026-01-15T09:37:54.940655""}",0
430,387006500347969546,1,2,1,1,1,{},0
431,750386596443848895,1,2,1,1,1,{},0
432,665922502836486165,1,2,1,1,1,{},0
476,731129925016485998,1,2,1,1,1,{},0
453,719220187747975288,1,2,1,1,1,{},0
497,1400756649844805745,1,2,1,1,1,"{""last_claim_date"": ""2026-01-16T07:21:24.310410""}",0
437,339798007577051146,1,2,1,1,1,"{""last_claim_date"": ""2026-01-10T14:47:19.915762""}",1200
383,895194745817673788,1,2,1,1,2,"{""last_claim_date"": ""2026-01-06T01:43:41.268744""}",2700
438,342095963684601857,1,2,1,1,1,{},0
456,726157260497354832,1,2,1,1,1,"{""last_claim_date"": ""2026-01-13T14:25:08.499017""}",0
441,1199014228871360595,1,2,1,1,1,"{""last_claim_date"": ""2026-01-10T18:42:33.661561""}",0
336,1399858099677954148,1,2,1,1,1,"{""last_claim_date"": ""2026-01-14T10:31:40.746530""}",6000
466,1210093680048865340,1,2,1,1,1,{},0
439,747392607633670235,1,2,1,1,1,"{""last_claim_date"": ""2026-01-15T18:35:35.479178""}",3030500
454,822507870042062859,1,2,1,1,1,{},0
468,1233494518125428817,1,2,1,1,1,{},0
462,884489597357264957,1,2,1,1,1,{},0
447,306040273329192960,1,2,1,1,1,{},0
448,1246354617797840969,1,2,1,1,1,{},0
449,1439501087886540800,1,2,1,1,1,{},0
469,1444512364081713214,1,2,1,1,1,{},0
178,828873174887432213,1,1,1,1,1,"{""last_claim_date"": ""2026-01-15T12:15:08.355002""}",11253
471,1435438873705713819,1,2,1,1,1,{},0
379,1231339940382638080,1,2,1,1,1,"{""last_claim_date"": ""2026-01-13T17:22:43.391647""}",54875
103,1348429782374682675,1,1,1,1,1,"{""last_claim_date"": ""2026-01-15T21:16:45.541791""}",25800
481,925854882894843985,1,2,1,1,1,{},0
482,622439155460341771,1,2,1,1,1,{},0
460,1212628909774995467,1,2,1,1,1,{},0
457,1308639325570990131,1,2,1,1,1,{},0
458,1224071869448196256,1,2,1,1,1,{},0
467,1371738896999907349,1,2,1,1,1,{},0
